sell,buy,installment,tgl
1074180,1047325,1074180,2024-02-21
1071229,1044448,1071229,2024-02-20
1068183,1041478,1068183,2024-02-19
1060902,1034379,1060902,2024-02-18
1060902,1034379,1060902,2024-02-17
1061148,1034619,1061148,2024-02-16
1058171,1031716,1058171,2024-02-15
1078907,1051934,1078907,2024-02-14
1078993,1052018,1078993,2024-02-13
1079047,1052070,1079047,2024-02-12
1078796,1051826,1078796,2024-02-11
1078796,1051826,1078796,2024-02-10
1079131,1052152,1079131,2024-02-09
1079177,1052197,1079177,2024-02-08
1079238,1052257,1079238,2024-02-07
1073299,1046466,1073299,2024-02-06
1082162,1055107,1082162,2024-02-05
1092825,1065504,1092825,2024-02-04
1092825,1065504,1092825,2024-02-03
1093118,1065790,1093118,2024-02-02
1085240,1058109,1085240,2024-02-01
1086292,1059134,1086292,2024-01-31
1084278,1057171,1084278,2024-01-30
1080744,1053725,1080744,2024-01-29
1071914,1045116,1071914,2024-01-28
1071914,1045116,1071914,2024-01-27
1072246,1045439,1072246,2024-01-26
1066360,1039701,1066360,2024-01-25
1070247,1043490,1070247,2024-01-24
1067265,1040583,1067265,2024-01-23
1069218,1042487,1069218,2024-01-22
1067890,1041192,1067890,2024-01-21
1067890,1041192,1067890,2024-01-20
1068226,1041520,1068226,2024-01-19
1058230,1031774,1058230,2024-01-18
1064188,1037583,1064188,2024-01-17
1076220,1049314,1076220,2024-01-16
1073269,1046437,1073269,2024-01-15
1066964,1040289,1066964,2024-01-14
1066964,1040289,1066964,2024-01-13
1067307,1040624,1067307,2024-01-12
1062241,1035684,1062241,2024-01-11
1063220,1036639,1063220,2024-01-10
1064238,1037632,1064238,2024-01-09
1070135,1043381,1070135,2024-01-08
1067937,1041238,1067937,2024-01-07
1067937,1041238,1067937,2024-01-06
1068283,1041575,1068283,2024-01-05
1066255,1039598,1066255,2024-01-04
1072229,1045423,1072229,2024-01-03
1072304,1045496,1072304,2024-01-02
1072905,1046082,1072905,2024-01-01
1072898,1046075,1072898,2023-12-31
1072898,1046075,1072898,2023-12-30
1073235,1046404,1073235,2023-12-29
1083254,1056172,1083254,2023-12-28
1080202,1053196,1080202,2023-12-27
1080149,1053145,1080149,2023-12-26
1069926,1043177,1069926,2023-12-25
1069941,1043192,1069941,2023-12-24
1069941,1043192,1069941,2023-12-23
1070302,1043544,1070302,2023-12-22
1063227,1036646,1063227,2023-12-21
1067207,1040526,1067207,2023-12-20
1060268,1033761,1060268,2023-12-19
1056219,1029813,1056219,2023-12-18
1067809,1041113,1067809,2023-12-17
1067809,1041113,1067809,2023-12-16
1068206,1041500,1068206,2023-12-15
1067208,1040527,1067208,2023-12-14
1042179,1016124,1042179,2023-12-13
1036220,1010314,1036220,2023-12-12
1050180,1023925,1050180,2023-12-11
1058799,1032329,1058799,2023-12-10
1058799,1032329,1058799,2023-12-09
1059167,1032687,1059167,2023-12-08
1059225,1032744,1059225,2023-12-07
1053259,1026927,1053259,2023-12-06
1065100,1038472,1065100,2023-12-05
1077191,1050261,1077191,2023-12-04
1058069,1031617,1058069,2023-12-03
1058069,1031617,1058069,2023-12-02
1058299,1031841,1058299,2023-12-01
1062281,1035723,1062281,2023-11-30
1062240,1035684,1062240,2023-11-29
1054218,1027862,1054218,2023-11-28
1052182,1025877,1052182,2023-11-27
1046865,1020693,1046865,2023-11-26
1046865,1020693,1046865,2023-11-25
1047193,1021013,1047193,2023-11-24
1038229,1012273,1038229,2023-11-23
1040288,1014280,1040288,2023-11-22
1038242,1012285,1038242,2023-11-21
1040028,1014027,1040028,2023-11-20
1037776,1011831,1037776,2023-11-19
1037776,1011831,1037776,2023-11-18
1038083,1012130,1038083,2023-11-17
1037174,1011244,1037174,2023-11-16
1037041,1011114,1037041,2023-11-15
1032145,1006341,1032145,2023-11-14
1027110,1001432,1027110,2023-11-13
1034736,1008867,1034736,2023-11-12
1034736,1008867,1034736,2023-11-11
1035090,1009212,1035090,2023-11-10
1030164,1004409,1030164,2023-11-09
1037115,1011187,1037115,2023-11-08
1042114,1016061,1042114,2023-11-07
1047105,1020927,1047105,2023-11-06
1046900,1020727,1046900,2023-11-05
1046900,1020727,1046900,2023-11-04
1047237,1021056,1047237,2023-11-03
1052264,1025957,1052264,2023-11-02
1052332,1026023,1052332,2023-11-01
1052389,1026079,1052389,2023-10-31
1052352,1026043,1052352,2023-10-30
1047089,1020911,1047089,2023-10-29
1047089,1020911,1047089,2023-10-28
1047335,1021151,1047335,2023-10-27
1047319,1021136,1047319,2023-10-26
1047323,1021139,1047323,2023-10-25
1047206,1021025,1047206,2023-10-24
1047305,1021122,1047305,2023-10-23
1046995,1020820,1046995,2023-10-22
1046995,1020820,1046995,2023-10-21
1047342,1021158,1047342,2023-10-20
1036242,1010335,1036242,2023-10-19
1029264,1003532,1029264,2023-10-18
1028704,1002986,1028704,2023-10-17
1032243,1006436,1032243,2023-10-16
1020644,995127,1020644,2023-10-15
1020644,995127,1020644,2023-10-14
1020232,994726,1020232,2023-10-13
1020058,994556,1020058,2023-10-12
1011044,985767,1011044,2023-10-11
1011009,985733,1011009,2023-10-10
991958,967159,991958,2023-10-09
992171,967366,992171,2023-10-08
992171,967366,992171,2023-10-07
991828,967032,991828,2023-10-06
991790,966995,991790,2023-10-05
988789,964069,988789,2023-10-04
987829,963133,987829,2023-10-03
997809,972863,997809,2023-10-02
1002151,977097,1002151,2023-10-01
1002151,977097,1002151,2023-09-30
999398,974413,999398,2023-09-29
1008844,983622,1008844,2023-09-28
1008911,983688,1008911,2023-09-27
1014925,989551,1014925,2023-09-26
1020919,995396,1020919,2023-09-25
1020594,995079,1020594,2023-09-24
1020594,995079,1020594,2023-09-23
1020913,995390,1020913,2023-09-22
1023859,998262,1023859,2023-09-21
1029130,1003401,1029130,2023-09-20
1030131,1004377,1030131,2023-09-19
1024088,998485,1024088,2023-09-18
1017417,991981,1017417,2023-09-17
1017417,991981,1017417,2023-09-16
1017107,991679,1017107,2023-09-15
1015010,989634,1015010,2023-09-14
1017033,991607,1017033,2023-09-13
1020014,994513,1020014,2023-09-12
1020091,994588,1020091,2023-09-11
1018385,992925,1018385,2023-09-10
1018385,992925,1018385,2023-09-09
1018116,992663,1018116,2023-09-08
1014062,988710,1014062,2023-09-07
1019055,993578,1019055,2023-09-06
1025046,999419,1025046,2023-09-05
1026048,1000396,1026048,2023-09-04
1023497,997909,1023497,2023-09-03
1023497,997909,1023497,2023-09-02
1023475,997888,1023475,2023-09-01
1026472,1000810,1026472,2023-08-31
1024476,998864,1024476,2023-08-30
1017424,991988,1017424,2023-08-29
1012442,987130,1012442,2023-08-28
1016415,991004,1016415,2023-08-27
1016415,991004,1016415,2023-08-26
1016432,991021,1016432,2023-08-25
1016405,990994,1016405,2023-08-24
1009472,984235,1009472,2023-08-23
1005385,980250,1005385,2023-08-22
1004378,979268,1004378,2023-08-21
1007356,982172,1007356,2023-08-20
1007356,982172,1007356,2023-08-19
1007387,982202,1007387,2023-08-18
1010388,985128,1010388,2023-08-17
1010409,985148,1010409,2023-08-16
1007428,982242,1007428,2023-08-15
1008443,983231,1008443,2023-08-14
1010463,985201,1010463,2023-08-13
1010463,985201,1010463,2023-08-12
1010483,985220,1010483,2023-08-11
1012402,987091,1012402,2023-08-10
1013413,988077,1013413,2023-08-09
1017439,992003,1017439,2023-08-08
1021429,995893,1021429,2023-08-07
1017450,992013,1017450,2023-08-06
1017450,992013,1017450,2023-08-05
1017462,992025,1017462,2023-08-04
1015446,990059,1015446,2023-08-03
1018493,993030,1018493,2023-08-02
1025445,999808,1025445,2023-08-01
1018568,993103,1018568,2023-07-31
1015523,990134,1015523,2023-07-30
1015523,990134,1015523,2023-07-29
1015517,990129,1015517,2023-07-28
1023379,997794,1023379,2023-07-27
1022486,996923,1022486,2023-07-26
1018443,992981,1018443,2023-07-25
1019466,993979,1019466,2023-07-24
